Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday
Lee Kong Chian Reference Library (National Library Board),"100 Victoria Street, S(188064)","\$1.07 for 1st 30min, \$0.035 for next subsequent min from 7am to 7pm",\$0.017/min from 7pm to 11.29pm,Charges same as weekdays,\$0.017/min from 7am to 11.29pm
National Skin Centre,"1 Mandalay Road, S(308205)","\$2.20 for 1st hr, \$0.10 for next subsequent 5min from 8am to 5pm",Carpark closed,Carpark closed,Carpark closed
National University Hospital (NUH),"5 Lower Kent Ridge Road, S(119074)",\$0.035/min from 12midnight to 12midnight the following day,\$0.035/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays
Negara Hotel,"10 Claymore Road, S(229540)","\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5pm",\$5.00/entry from 5pm to 7am the following day,Charges same as weekdays,\$5.00/entry from 7am to 7am the following day
Northpoint Shopping Centre,"930 Yishun Avenue 2, S(769098)","\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7am to 1am the following day","\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7am to 1am the following day",Charges same as weekdays,Charges same as weekdays
Novena Gardens,"273 Thomson Road, S(307644)","\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 7am to 5pm","\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays
Velocity @ Novena Square,"238 Thomson Road, S(307683)","\$1.60 for 1st hr, \$0.50 for next subsequent 15min from 6am to 6pm",\$2.50/entry from 6pm to 6am the following day,"\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day","\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day"
Novena Villa,"275 Thomson Road, S(307645)","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 8am to 5pm","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays
"National Cancer Centre, Singapore (NCCS)","11 Hospital Drive, S(169610)",HDB parking rates from 8.30am to 10pm,Free parking from 10pm to 8.30am the following day,Charges same as weekdays,Charges same as weekdays
M Hotel,"81 Anson Road, S(079908)",\$2.50/30min from 7am to 6pm,\$5.80/entry from 6pm to 7am the following day,"\$2.50/30min from 7am to 1pm, \$5.80/entry after 1pm to 7am the following day",\$5.80/entry from 7am to 7am the following day
Marina Mandarin Hotel,"6 Raffles Boulevard, S(039594)","\$2.20 for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun"
Marina Square,"6 Raffles Boulevard, S(039594)","\$2.20 for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20 for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun"
Manulife Centre,"51 Bras Basah Road, S(189554)","\$2.40 for 1st hr, \$1.45 for next subsequent 30min from 7.01am to 5.00pm",\$2.90/entry from 5.01pm to 7.00am the following day,Charges same as weekdays,\$2.90/4hr block from 7.01am to 7.00am the following day
Peninsula Plaza,"111 North Bridge Road, S(179098)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only
People's Park Centre,"101 Upper Cross Street, S(058357)",\$1.605/30min from 7am to 5pm,\$2.675/entry from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
OCBC Centre,"65 Chulia Street, S(049513)",\$2.20/30min from 6am to 6pm,\$3.30/entry from 6pm to 6am the following day,\$3.30/entry from 6am to 6am the following day,\$3.30/entry from 6am to 6am the following day
OCBC Tampines Centre 2,"31 Tampines Avenue 4, S(529680)",Private Car Park,Private Car Park,Private Car Park,Private Car Park
Odeon Katong Shopping Centre,"11 East Coast Road, S(428722)",\$1.20/hr from 8am to 5pm,\$2.50/entry from 5pm to 8am the following day,Charges same as weekdays,\$2.50/entry from 8am to 8am the following day
Orchard Point,"160 Orchard Road, S(238842)","\$2.00 for 1st 1hr, \$1.50 for next subsequent 30min from 8am to 9.59pm","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 10pm to 7.59am the following day",Charges same as weekdays,Charges same as weekdays
Fullerton Hotel,"1 Fullerton Square, S(049178)",\$1.07/10min from 7.01am to 6pm,"\$5.00/entry from 6.01pm to 12midnight, Additional \$7.00/entry from 12.01am to 7am the following day","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$7.00/entry from 12.01am to 7am the following day","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$7.00/entry from 12.01am to 7am the following day"
Claymore Connect,"442 Orchard Road, S(238879)","\$3.00 for 1st hr, \$1.50 for next subsequent hr from 7am to 6pm",\$5.50/entry from 6pm to 7am the following day,Charges same as weekdays,\$5.50/entry from 7am to 7am the following day
Orchard Parade Hotel,"1 Tanglin Road, S(247905)","\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 6pm",\$5.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
Orchard Plaza,"150 Orchard Road, S(238841)",\$1.39/30min from 7am to 5pm,"\$3.85 for 1st 3hr, \$1.39 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays
Orchard Towers,"400 Orchard Road, S(238875)",\$5.00/hr from 7am to 5.59pm,"\$9.00/entry from 6pm to 1.59am the following day, \$9.00/entry from 2am to 6.59am the following day",Charges same as weekdays,"\$9.00/entry from 7am to 1.59am the following day, \$9.00/entry from 2am to 6.59am the following day"
Oriental Plaza,"291 New Bridge Road, S(088756)","\$2.30 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm",\$2.50/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays
Mandarin Oriental Singapore,"5 Raffles Avenue, S(039797)",Valet parking at \$15.00 per entry,Valet parking at \$15.00 per entry,Charges same as weekdays,Charges same as weekdays
Novotel Clarke Quay,"177A River Valley Road, S(179031)",\$1.28/hr from 7am to 6pm,\$3.28/entry from 6pm to 7am the following day,Charges same as weekdays but \$3.21/entry after 1pm,Charges same as weekdays but \$3.28/entry from 1pm to 7am the following day
