,Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longitude
0,Lee Kong Chian Reference Library (National Library Board),"100 Victoria Street, S(188064)","\$1.07 for 1st 30min, \$0.035 for next subsequent min from 7am to 7pm",\$0.017/min from 7pm to 11.29pm,Charges same as weekdays,\$0.017/min from 7am to 11.29pm,1.2975132,103.8539367
1,National Skin Centre,"1 Mandalay Road, S(308205)","\$2.20 for 1st hr, \$0.10 for next subsequent 5min from 8am to 5pm",Carpark closed,Carpark closed,Carpark closed,1.3200731,103.8491307
2,National University Hospital (NUH),"5 Lower Kent Ridge Road, S(119074)",\$0.035/min from 12midnight to 12midnight the following day,\$0.035/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,1.2942111,103.78276159999999
3,Negara Hotel,"10 Claymore Road, S(229540)","\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5pm",\$5.00/entry from 5pm to 7am the following day,Charges same as weekdays,\$5.00/entry from 7am to 7am the following day,1.3076066000000002,103.8301208
4,Northpoint Shopping Centre,"930 Yishun Avenue 2, S(769098)","\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7am to 1am the following day","\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7am to 1am the following day",Charges same as weekdays,Charges same as weekdays,1.4295853,103.8360393
5,Novena Gardens,"273 Thomson Road, S(307644)","\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 7am to 5pm","\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3202859999999998,103.842021
6,Velocity @ Novena Square,"238 Thomson Road, S(307683)","\$1.60 for 1st hr, \$0.50 for next subsequent 15min from 6am to 6pm",\$2.50/entry from 6pm to 6am the following day,"\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day","\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day",1.3199825,103.8438568
7,Novena Villa,"275 Thomson Road, S(307645)","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 8am to 5pm","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,1.3210271,103.8417066
8,"National Cancer Centre, Singapore (NCCS)","11 Hospital Drive, S(169610)",HDB parking rates from 8.30am to 10pm,Free parking from 10pm to 8.30am the following day,Charges same as weekdays,Charges same as weekdays,1.280106,103.837125
9,M Hotel,"81 Anson Road, S(079908)",\$2.50/30min from 7am to 6pm,\$5.80/entry from 6pm to 7am the following day,"\$2.50/30min from 7am to 1pm, \$5.80/entry after 1pm to 7am the following day",\$5.80/entry from 7am to 7am the following day,1.2737688,103.845063
10,Marina Mandarin Hotel,"6 Raffles Boulevard, S(039594)","\$2.20 for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun",1.2914468,103.8578782
11,Marina Square,"6 Raffles Boulevard, S(039594)","\$2.20 for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20 for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun",1.2914468,103.8578782
12,Manulife Centre,"51 Bras Basah Road, S(189554)","\$2.40 for 1st hr, \$1.45 for next subsequent 30min from 7.01am to 5.00pm",\$2.90/entry from 5.01pm to 7.00am the following day,Charges same as weekdays,\$2.90/4hr block from 7.01am to 7.00am the following day,1.2979025,103.8501579
13,Peninsula Plaza,"111 North Bridge Road, S(179098)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only,1.2923118,103.85080479999999
14,People's Park Centre,"101 Upper Cross Street, S(058357)",\$1.605/30min from 7am to 5pm,\$2.675/entry from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.2857964,103.8440022
15,OCBC Centre,"65 Chulia Street, S(049513)",\$2.20/30min from 6am to 6pm,\$3.30/entry from 6pm to 6am the following day,\$3.30/entry from 6am to 6am the following day,\$3.30/entry from 6am to 6am the following day,1.2854622,103.8492265
16,OCBC Tampines Centre 2,"31 Tampines Avenue 4, S(529680)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,1.3520931,103.9424071
17,Odeon Katong Shopping Centre,"11 East Coast Road, S(428722)",\$1.20/hr from 8am to 5pm,\$2.50/entry from 5pm to 8am the following day,Charges same as weekdays,\$2.50/entry from 8am to 8am the following day,1.3045527,103.9019502
18,Orchard Point,"160 Orchard Road, S(238842)","\$2.00 for 1st 1hr, \$1.50 for next subsequent 30min from 8am to 9.59pm","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 10pm to 7.59am the following day",Charges same as weekdays,Charges same as weekdays,1.3014668,103.8405561
19,Fullerton Hotel,"1 Fullerton Square, S(049178)",\$1.07/10min from 7.01am to 6pm,"\$5.00/entry from 6.01pm to 12midnight, Additional \$7.00/entry from 12.01am to 7am the following day","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$7.00/entry from 12.01am to 7am the following day","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$7.00/entry from 12.01am to 7am the following day",1.2863499,103.853043
20,Claymore Connect,"442 Orchard Road, S(238879)","\$3.00 for 1st hr, \$1.50 for next subsequent hr from 7am to 6pm",\$5.50/entry from 6pm to 7am the following day,Charges same as weekdays,\$5.50/entry from 7am to 7am the following day,1.3076475,103.82849940000001
21,Orchard Parade Hotel,"1 Tanglin Road, S(247905)","\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 6pm",\$5.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.3066294,103.8276686
22,Orchard Plaza,"150 Orchard Road, S(238841)",\$1.39/30min from 7am to 5pm,"\$3.85 for 1st 3hr, \$1.39 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3010249,103.8410995
23,Orchard Towers,"400 Orchard Road, S(238875)",\$5.00/hr from 7am to 5.59pm,"\$9.00/entry from 6pm to 1.59am the following day, \$9.00/entry from 2am to 6.59am the following day",Charges same as weekdays,"\$9.00/entry from 7am to 1.59am the following day, \$9.00/entry from 2am to 6.59am the following day",1.3069708999999998,103.8291646
24,Oriental Plaza,"291 New Bridge Road, S(088756)","\$2.30 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm",\$2.50/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,1.281865,103.842016
25,Mandarin Oriental Singapore,"5 Raffles Avenue, S(039797)",Valet parking at \$15.00 per entry,Valet parking at \$15.00 per entry,Charges same as weekdays,Charges same as weekdays,1.290653,103.85834190000001
26,Novotel Clarke Quay,"177A River Valley Road, S(179031)",\$1.28/hr from 7am to 6pm,\$3.28/entry from 6pm to 7am the following day,Charges same as weekdays but \$3.21/entry after 1pm,Charges same as weekdays but \$3.28/entry from 1pm to 7am the following day,1.2916066000000002,103.8450022
27,NTUC Income Centre,"75 Bras Basah Road, S(189557)",\$1.10/30min from 7am to 5pm,"\$2.14/entry from 5pm to 11pm, Car Park closed after 11pm daily",Charges same as weekdays,"\$2.14/entry from 7am to 11pm, Car Park closed after 11pm daily",1.296451,103.851586
28,NTUC Income Tampines Point,"2 Tampines Central 6, S(529483)","\$1.50/hr for 1st hr, \$0.75 for next subsequent 30min from 6am to 6pm",\$2.50/entry from 6pm to 6am the following day,Charges same as weekdays,\$2.50/entry from 6am to 6am the following day,1.3526533,103.94245169999999
29,NTUC Prinsep House,"30 Prinsep Street, S(188647)",\$1.25/30min from 7am to 5.59pm,"\$2.80/entry from 6pm to 11.59pm, \$5.00/entry from 12midnight to 6.59am the following day",Charges same as weekdays,Charges same as weekdays,1.2990549,103.8494852
30,NUS Car Park 3B - Kent Vale,Kent Ridge Crescent,Carpark closed,Carpark closed,Carpark closed,Carpark closed,1.2979348,103.773175
31,NUS Car Park 2A - In front of Block E3A,Engineering Drive 1,"*\$0.0214/min from 8.30am to 7.30pm, maximum charge of \$1.284 for vehicles entering from 6pm to 7.30pm",*Free parking from 7.31pm to 8.29am the following day,"*\$0.0214/min up to a maximum charge of \$2.568 from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",*Free parking whole day from 8.30am to 8.29am the following day,1.3005066,103.7715314
32,Costa Sands Resort (Downtown East),"1 Pasir Ris Close, S(519599)","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$12.50/day from Mon to Thurs (except School/Public Holidays and Eve of Public Holidays)","\$2.40/entry from Mon to Thurs, \$3.40/entry on Fri to Sun and eve of public holidays from 5pm to 12midnight","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$16/day from Fri to Sun, eve of public holidays and gazette School Holidays","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$16/day from Fri to Sun, eve of public holidays and gazette School Holidays",1.3777541000000002,103.9548264
33,Plaza Singapura,"68 Orchard Road, S(238839)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm the following day on Mon to Fri","\$2.57/entry from 6pm to 11.59pm from Mon to Thur, \$2.57/entry from 6pm to 2.59am the following day on Fri and Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm",1.3007913999999998,103.84499759999999
