Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longitude,Coord,Latitude_rad,Longitude_rad,Coord_rad
Lee Kong Chian Reference Library (National Library Board),"100 Victoria Street, S(188064)","\$1.07 for 1st 30min, \$0.035 for next subsequent min from 7am to 7pm",\$0.017/min from 7pm to 11.29pm,Charges same as weekdays,\$0.017/min from 7am to 11.29pm,1.2975132,103.8539367,"(1.2975132, 103.85393670000001)",0.02264587742808769,1.8125931365727745,"(0.022645877428087689, 1.8125931365727745)"
National Skin Centre,"1 Mandalay Road, S(308205)","\$2.20 for 1st hr, \$0.10 for next subsequent 5min from 8am to 5pm",Carpark closed,Carpark closed,Carpark closed,1.3200731,103.8491307,"(1.3200731000000001, 103.8491307)",0.023039621962008358,1.8125092560489238,"(0.023039621962008358, 1.8125092560489238)"
National University Hospital (NUH),"5 Lower Kent Ridge Road, S(119074)",\$0.035/min from 12midnight to 12midnight the following day,\$0.035/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,1.2942111,103.7827616,"(1.2942111000000001, 103.78276159999999)",0.022588244910857584,1.8113508967323384,"(0.022588244910857584, 1.8113508967323384)"
Negara Hotel,"10 Claymore Road, S(229540)","\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5pm",\$5.00/entry from 5pm to 7am the following day,Charges same as weekdays,\$5.00/entry from 7am to 7am the following day,1.3076066000000002,103.8301208,"(1.3076066000000002, 103.8301208)",0.02282204049080849,1.8121774707034488,"(0.022822040490808489, 1.8121774707034488)"
Northpoint Shopping Centre,"930 Yishun Avenue 2, S(769098)","\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7am to 1am the following day","\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7am to 1am the following day",Charges same as weekdays,Charges same as weekdays,1.4295853,103.8360393,"(1.4295853000000001, 103.8360393)",0.024950970423110893,1.812280768015228,"(0.024950970423110893, 1.812280768015228)"
Novena Gardens,"273 Thomson Road, S(307644)","\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 7am to 5pm","\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3202859999999998,103.842021,"(1.3202859999999998, 103.842021)",0.023043337767985853,1.8123851683750947,"(0.023043337767985853, 1.8123851683750947)"
Velocity @ Novena Square,"238 Thomson Road, S(307683)","\$1.60 for 1st hr, \$0.50 for next subsequent 15min from 6am to 6pm",\$2.50/entry from 6pm to 6am the following day,"\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day","\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day",1.3199825,103.8438568,"(1.3199825000000001, 103.8438568)",0.023038040693706054,1.8124172091295028,"(0.023038040693706054, 1.8124172091295028)"
Novena Villa,"275 Thomson Road, S(307645)","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 8am to 5pm","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,1.3210271,103.8417066,"(1.3210271, 103.84170659999999)",0.023056272403072384,1.8123796810599262,"(0.023056272403072384, 1.8123796810599262)"
"National Cancer Centre, Singapore (NCCS)","11 Hospital Drive, S(169610)",HDB parking rates from 8.30am to 10pm,Free parking from 10pm to 8.30am the following day,Charges same as weekdays,Charges same as weekdays,1.280106,103.837125,"(1.280106, 103.837125)",0.02234206447453453,1.8122997170549169,"(0.022342064474534531, 1.8122997170549169)"
M Hotel,"81 Anson Road, S(079908)",\$2.50/30min from 7am to 6pm,\$5.80/entry from 6pm to 7am the following day,"\$2.50/30min from 7am to 1pm, \$5.80/entry after 1pm to 7am the following day",\$5.80/entry from 7am to 7am the following day,1.2737688,103.845063,"(1.2737688, 103.845063)",0.022231459469177147,1.8124382612909402,"(0.022231459469177147, 1.8124382612909402)"
Marina Mandarin Hotel,"6 Raffles Boulevard, S(039594)","\$2.20 for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun",1.2914468000000001,103.8578782,"(1.2914467999999999, 103.8578782)",0.02253999877434471,1.812661928725242,"(0.022539998774344708, 1.8126619287252419)"
Marina Square,"6 Raffles Boulevard, S(039594)","\$2.20 for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20 for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun",1.2914468000000001,103.8578782,"(1.2914467999999999, 103.8578782)",0.02253999877434471,1.812661928725242,"(0.022539998774344708, 1.8126619287252419)"
Manulife Centre,"51 Bras Basah Road, S(189554)","\$2.40 for 1st hr, \$1.45 for next subsequent 30min from 7.01am to 5.00pm",\$2.90/entry from 5.01pm to 7.00am the following day,Charges same as weekdays,\$2.90/4hr block from 7.01am to 7.00am the following day,1.2979025,103.8501579,"(1.2979025, 103.8501579)",0.022652671994865703,1.8125271840710002,"(0.022652671994865703, 1.8125271840710002)"
Peninsula Plaza,"111 North Bridge Road, S(179098)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only,1.2923118,103.8508048,"(1.2923118, 103.85080479999999)",0.022555095872374455,1.8125384746059314,"(0.022555095872374455, 1.8125384746059314)"
People's Park Centre,"101 Upper Cross Street, S(058357)",\$1.605/30min from 7am to 5pm,\$2.675/entry from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.2857964,103.8440022,"(1.2857964, 103.84400220000001)",0.022441380690290016,1.8124197468382353,"(0.022441380690290016, 1.8124197468382353)"
OCBC Centre,"65 Chulia Street, S(049513)",\$2.20/30min from 6am to 6pm,\$3.30/entry from 6pm to 6am the following day,\$3.30/entry from 6am to 6am the following day,\$3.30/entry from 6am to 6am the following day,1.2854622,103.8492265,"(1.2854622, 103.8492265)",0.02243554779992985,1.812510928074347,"(0.022435547799929852, 1.812510928074347)"
OCBC Tampines Centre 2,"31 Tampines Avenue 4, S(529680)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,1.3520931,103.9424071,"(1.3520931, 103.9424071)",0.023598476388496943,1.8141372363433308,"(0.023598476388496943, 1.8141372363433308)"
Odeon Katong Shopping Centre,"11 East Coast Road, S(428722)",\$1.20/hr from 8am to 5pm,\$2.50/entry from 5pm to 8am the following day,Charges same as weekdays,\$2.50/entry from 8am to 8am the following day,1.3045527,103.9019502,"(1.3045526999999999, 103.9019502)",0.02276873988078183,1.813431130233181,"(0.022768739880781829, 1.8134311302331809)"
Orchard Point,"160 Orchard Road, S(238842)","\$2.00 for 1st 1hr, \$1.50 for next subsequent 30min from 8am to 9.59pm","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 10pm to 7.59am the following day",Charges same as weekdays,Charges same as weekdays,1.3014668,103.8405561,"(1.3014668, 103.8405561)",0.02271488076539454,1.812359601046882,"(0.022714880765394539, 1.8123596010468821)"
Fullerton Hotel,"1 Fullerton Square, S(049178)",\$1.07/10min from 7.01am to 6pm,"\$5.00/entry from 6.01pm to 12midnight, Additional \$7.00/entry from 12.01am to 7am the following day","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$7.00/entry from 12.01am to 7am the following day","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$7.00/entry from 12.01am to 7am the following day",1.2863499,103.853043,"(1.2863499, 103.853043)",0.022451041087699807,1.8125775385652494,"(0.022451041087699807, 1.8125775385652494)"
Claymore Connect,"442 Orchard Road, S(238879)","\$3.00 for 1st hr, \$1.50 for next subsequent hr from 7am to 6pm",\$5.50/entry from 6pm to 7am the following day,Charges same as weekdays,\$5.50/entry from 7am to 7am the following day,1.3076475,103.8284994,"(1.3076475000000001, 103.82849940000001)",0.022822754330472553,1.812149171934957,"(0.022822754330472553, 1.8121491719349569)"
Orchard Parade Hotel,"1 Tanglin Road, S(247905)","\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 6pm",\$5.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.3066294,103.8276686,"(1.3066294000000001, 103.8276686)",0.022804985133357998,1.8121346717395312,"(0.022804985133357998, 1.8121346717395312)"
Orchard Plaza,"150 Orchard Road, S(238841)",\$1.39/30min from 7am to 5pm,"\$3.85 for 1st 3hr, \$1.39 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3010249,103.8410995,"(1.3010249, 103.8410995)",0.022707168155429974,1.8123690851660375,"(0.022707168155429974, 1.8123690851660375)"
Orchard Towers,"400 Orchard Road, S(238875)",\$5.00/hr from 7am to 5.59pm,"\$9.00/entry from 6pm to 1.59am the following day, \$9.00/entry from 2am to 6.59am the following day",Charges same as weekdays,"\$9.00/entry from 7am to 1.59am the following day, \$9.00/entry from 2am to 6.59am the following day",1.3069708999999998,103.8291646,"(1.3069708999999998, 103.8291646)",0.022810945432753554,1.8121607818651413,"(0.022810945432753554, 1.8121607818651413)"
Oriental Plaza,"291 New Bridge Road, S(088756)","\$2.30 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm",\$2.50/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,1.281865,103.842016,"(1.281865, 103.842016)",0.022372764816077112,1.812385081108632,"(0.022372764816077112, 1.8123850811086319)"
Mandarin Oriental Singapore,"5 Raffles Avenue, S(039797)",Valet parking at \$15.00 per entry,Valet parking at \$15.00 per entry,Charges same as weekdays,Charges same as weekdays,1.290653,103.8583419,"(1.2906530000000001, 103.85834190000001)",0.022526144350742374,1.8126700218169833,"(0.022526144350742374, 1.8126700218169833)"
Novotel Clarke Quay,"177A River Valley Road, S(179031)",\$1.28/hr from 7am to 6pm,\$3.28/entry from 6pm to 7am the following day,Charges same as weekdays but \$3.21/entry after 1pm,Charges same as weekdays but \$3.28/entry from 1pm to 7am the following day,1.2916066000000002,103.8450022,"(1.2916066000000002, 103.8450022)",0.022542787810489396,1.812437200130755,"(0.022542787810489396, 1.8124372001307549)"
NTUC Income Centre,"75 Bras Basah Road, S(189557)",\$1.10/30min from 7am to 5pm,"\$2.14/entry from 5pm to 11pm, Car Park closed after 11pm daily",Charges same as weekdays,"\$2.14/entry from 7am to 11pm, Car Park closed after 11pm daily",1.296451,103.851586,"(1.296451, 103.851586)",0.022627338540773007,1.8125521091180479,"(0.022627338540773007, 1.8125521091180479)"
NTUC Income Tampines Point,"2 Tampines Central 6, S(529483)","\$1.50/hr for 1st hr, \$0.75 for next subsequent 30min from 6am to 6pm",\$2.50/entry from 6pm to 6am the following day,Charges same as weekdays,\$2.50/entry from 6am to 6am the following day,1.3526533,103.9424517,"(1.3526533000000001, 103.94245169999999)",0.023608253722966616,1.8141380147601773,"(0.023608253722966616, 1.8141380147601773)"
NTUC Prinsep House,"30 Prinsep Street, S(188647)",\$1.25/30min from 7am to 5.59pm,"\$2.80/entry from 6pm to 11.59pm, \$5.00/entry from 12midnight to 6.59am the following day",Charges same as weekdays,Charges same as weekdays,1.2990549,103.8494852,"(1.2990549, 103.8494852)",0.022672785169165686,1.8125154432411221,"(0.022672785169165686, 1.8125154432411221)"
NUS Car Park 3B - Kent Vale,Kent Ridge Crescent,Carpark closed,Carpark closed,Carpark closed,Carpark closed,1.2979348,103.773175,"(1.2979347999999999, 103.77317499999999)",0.022653235736214097,1.8111835789982664,"(0.022653235736214097, 1.8111835789982664)"
NUS Car Park 2A - In front of Block E3A,Engineering Drive 1,"*\$0.0214/min from 8.30am to 7.30pm, maximum charge of \$1.284 for vehicles entering from 6pm to 7.30pm",*Free parking from 7.31pm to 8.29am the following day,"*\$0.0214/min up to a maximum charge of \$2.568 from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",*Free parking whole day from 8.30am to 8.29am the following day,1.3005066,103.7715314,"(1.3005066000000001, 103.7715314)",0.022698122113916887,1.8111548927666807,"(0.022698122113916887, 1.8111548927666807)"
Costa Sands Resort (Downtown East),"1 Pasir Ris Close, S(519599)","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$12.50/day from Mon to Thurs (except School/Public Holidays and Eve of Public Holidays)","\$2.40/entry from Mon to Thurs, \$3.40/entry on Fri to Sun and eve of public holidays from 5pm to 12midnight","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$16/day from Fri to Sun, eve of public holidays and gazette School Holidays","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$16/day from Fri to Sun, eve of public holidays and gazette School Holidays",1.3777541000000002,103.9548264,"(1.3777541000000002, 103.9548264)",0.02404634532785121,1.8143539940191238,"(0.024046345327851212, 1.8143539940191238)"
Plaza Singapura,"68 Orchard Road, S(238839)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm the following day on Mon to Fri","\$2.57/entry from 6pm to 11.59pm from Mon to Thur, \$2.57/entry from 6pm to 2.59am the following day on Fri and Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm",1.3007913999999998,103.8449976,"(1.3007913999999998, 103.84499759999999)",0.022703092811626566,1.8124371198456095,"(0.022703092811626566, 1.8124371198456095)"
PARKROYAL on Beach Road,"7500A Beach Road, S(199591)","\$2.50 for 1st hr, \$3.00 for next subsequent hr from 7am to 5pm",\$2.50/entry from 5pm to 7am the following day,"\$2.50 for 1st hr, \$3.00 for next subsequent hr from 7am to 1pm, \$2.50/entry from 1pm to 7am the following day",\$2.50/entry from 7am to 7am the following day,1.2998065,103.86066540000002,"(1.2998065000000001, 103.86066540000002)",0.022685903063823676,1.8127105745421537,"(0.022685903063823676, 1.8127105745421537)"
One Raffles Place,"1 Raffles Place, S(048616)",\$2.62/30min from 7am to 5pm,\$3.53/entry from 5pm to 7am the following day,\$3.75/entry from 7am to 7am the following day,\$2.35/entry from 7am to 7am the following day,1.2844023999999998,103.8509818,"(1.2844023999999998, 103.8509818)",0.022417050800517212,1.8125415638387072,"(0.022417050800517212, 1.8125415638387072)"
East Coast Park (Carpark E1),East Coast Park Service Road,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,1.3073011,103.9296226,"(1.3073011000000001, 103.92962259999999)",0.022816708509943644,1.8139141047251097,"(0.022816708509943644, 1.8139141047251097)"
Pacific Plaza,"9 Scotts Road, S(228210)",\$1.50/30min from 8am to 6pm,"\$3.00 for 1st 2hr, \$1.00 for next subsequent 30min from 6pm to 8am the following day",Charges same as weekdays,"\$3.00 for 1st 2hr, \$1.00 for next subsequent 30min from 8am to 8am the following day",1.3065642,103.8320626,"(1.3065642, 103.83206259999999)",0.022803847178685697,1.812211361506864,"(0.022803847178685697, 1.812211361506864)"
Palais Renaissance,"390 Orchard Road, S(238871)","\$3.85 for 1st hr, \$1.95 for subsequent 30min from 7.01am to 5pm","\$4.60/entry from 5.01pm to 1am the following day, \$1.80/hr from 1.01am to 7am",Charges same as Weekdays,"\$4.60/4hr from 7.01am to 1am the following day, \$1.80/hr from 1.01am to 7am",1.3068412,103.8295622,"(1.3068412, 103.8295622)",0.02280868174071372,1.812167721294247,"(0.02280868174071372, 1.8121677212942471)"
Pan Pacific Hotel,"7 Raffles Boulevard, S(039595)","\$2.20 for 1st 2hr, \$1.10/30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min after the 4th hr from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min after the 4th hr from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun",1.2923002000000001,103.8585988,"(1.2923001999999999, 103.8585988)",0.022554893414181227,1.8126745055678317,"(0.022554893414181227, 1.8126745055678317)"
PoMo,"1 Selegie Road, S(188306)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5.59pm",\$3.50/entry from 6pm to 6.59am the following day,Charges same as weekdays,\$3.50/entry from 7am to 6.59am the following day,1.3002136,103.8491644,"(1.3002136, 103.84916440000001)",0.022693008299208544,1.8125098442248817,"(0.022693008299208544, 1.8125098442248817)"
Paragon,"290 Orchard Road, S(238859)","\$2.90 for 1st hr, \$1.50 for next subsequent 30min from 3am to 6.59pm",\$4.50/entry from 7pm to 2.59am the following day,Charges same as weekdays,"\$2.90 for 1st hr, \$1.50 for next subsequent 30min from 3am to 5.59pm, \$4.50/entry from 6pm to 2.59am the following day",1.3039263,103.835591,"(1.3039263000000001, 103.83559100000001)",0.02275780713834734,1.8122729437041913,"(0.022757807138347338, 1.8122729437041913)"
Paramount Hotel,"25 Marine Parade, S(449536)",\$1.07/hr from 8am to 5pm,\$1.07/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,1.3038007999999999,103.9029482,"(1.3038008000000001, 103.90294820000001)",0.02275561675013608,1.8134485486191156,"(0.022755616750136081, 1.8134485486191156)"
Paramount Shopping Centre,"30 East Coast Road, S(428751)",\$0.50/30min,\$2.00/entry,\$2.00/entry,\$2.00/entry,1.3037878,103.9029546,"(1.3037878000000001, 103.9029546)",0.022755389857333327,1.8134486603201878,"(0.022755389857333327, 1.8134486603201878)"
