Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude_rad,Longitude_rad,Coord_rad,Info
Lee Kong Chian Reference Library (National Library Board),"100 Victoria Street, S(188064)","\$1.07 for 1st 30min, \$0.035/min from 7am to 7pm",\$0.017/min from 7pm to 11.30pm,Charges same as weekdays,\$0.017/min from 7am to 11.30pm,0.022645877428087692,1.8125931365727743,"(0.022645877428087689, 1.8125931365727745)","<b>Carpark: </b>Lee Kong Chian Reference Library (National Library Board), <b>Address: </b>100 Victoria Street, S(188064), <b>Mon-Fri before 5/6pm: </b>\$1.07 for 1st 30min, \$0.035/min from 7am to 7pm, <b>Mon-Fri after 5/6pm: </b>\$0.017/min from 7pm to 11.30pm, <b>Sat: </b>Charges same as weekdays, <b>Sun/ Public Holiday: </b>\$0.017/min from 7am to 11.30pm"
National Skin Centre,"1 Mandalay Road, S(308205)","\$2.20 for 1st hr, \$0.10 for next subsequent 5min from 8am to 5pm",Carpark closed,Carpark closed,Carpark closed,0.023039621962008358,1.812509256048924,"(0.023039621962008358, 1.8125092560489238)","<b>Carpark: </b>National Skin Centre, <b>Address: </b>1 Mandalay Road, S(308205), <b>Mon-Fri before 5/6pm: </b>\$2.20 for 1st hr, \$0.10 for next subsequent 5min from 8am to 5pm, <b>Mon-Fri after 5/6pm: </b>Carpark closed, <b>Sat: </b>Carpark closed, <b>Sun/ Public Holiday: </b>Carpark closed"
National University Hospital (NUH),"5 Lower Kent Ridge Road, S(119074)",\$0.035/min from 12midnight to 12midnight the following day,\$0.035/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,0.022588244910857584,1.8113508967323384,"(0.022588244910857584, 1.8113508967323384)","<b>Carpark: </b>National University Hospital (NUH), <b>Address: </b>5 Lower Kent Ridge Road, S(119074), <b>Mon-Fri before 5/6pm: </b>\$0.035/min from 12midnight to 12midnight the following day, <b>Mon-Fri after 5/6pm: </b>\$0.035/min from 12midnight to 12midnight the following day, <b>Sat: </b>Charges same as weekdays, <b>Sun/ Public Holiday: </b>Charges same as weekdays"
Negara Hotel,"10 Claymore Road, S(229540)","\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5pm",\$5.00/entry from 5pm to 7am the following day,Charges same as weekdays,\$5.00/entry from 7am to 7am the following day,0.022822040490808482,1.8121774707034488,"(0.022822040490808482, 1.8121774707034488)","<b>Carpark: </b>Negara Hotel, <b>Address: </b>10 Claymore Road, S(229540), <b>Mon-Fri before 5/6pm: </b>\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5pm, <b>Mon-Fri after 5/6pm: </b>\$5.00/entry from 5pm to 7am the following day, <b>Sat: </b>Charges same as weekdays, <b>Sun/ Public Holiday: </b>\$5.00/entry from 7am to 7am the following day"
Northpoint Shopping Centre,"930 Yishun Avenue 2, S(769098)","\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7am to 7pm","\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7pm to 1am the following day",Charges same as weekdays,Charges same as weekdays,0.02495097042311089,1.812280768015228,"(0.024950970423110893, 1.812280768015228)","<b>Carpark: </b>Northpoint Shopping Centre, <b>Address: </b>930 Yishun Avenue 2, S(769098), <b>Mon-Fri before 5/6pm: </b>\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7am to 7pm, <b>Mon-Fri after 5/6pm: </b>\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7pm to 1am the following day, <b>Sat: </b>Charges same as weekdays, <b>Sun/ Public Holiday: </b>Charges same as weekdays"
Novena Gardens,"273 Thomson Road, S(307644)","\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 7am to 5pm","\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,0.023043337767985853,1.812385168375095,"(0.023043337767985853, 1.8123851683750947)","<b>Carpark: </b>Novena Gardens, <b>Address: </b>273 Thomson Road, S(307644), <b>Mon-Fri before 5/6pm: </b>\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 7am to 5pm, <b>Mon-Fri after 5/6pm: </b>\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 5pm to 7am the following day, <b>Sat: </b>Charges same as weekdays, <b>Sun/ Public Holiday: </b>Charges same as weekdays"
Velocity @ Novena Square,"238 Thomson Road, S(307683)","\$1.60 for 1st hr, \$0.50 for next subsequent 15min from 6am to 6pm",\$2.50/entry from 6pm to 6am the following day,"\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day","\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day",0.023038040693706054,1.8124172091295028,"(0.023038040693706054, 1.8124172091295028)","<b>Carpark: </b>Velocity @ Novena Square, <b>Address: </b>238 Thomson Road, S(307683), <b>Mon-Fri before 5/6pm: </b>\$1.60 for 1st hr, \$0.50 for next subsequent 15min from 6am to 6pm, <b>Mon-Fri after 5/6pm: </b>\$2.50/entry from 6pm to 6am the following day, <b>Sat: </b>\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day, <b>Sun/ Public Holiday: </b>\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day"
Novena Villa,"275 Thomson Road, S(307645)","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 8am to 5pm","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,0.023056272403072384,1.8123796810599264,"(0.023056272403072384, 1.8123796810599262)","<b>Carpark: </b>Novena Villa, <b>Address: </b>275 Thomson Road, S(307645), <b>Mon-Fri before 5/6pm: </b>\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 8am to 5pm, <b>Mon-Fri after 5/6pm: </b>\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 5pm to 8am the following day, <b>Sat: </b>Charges same as weekdays, <b>Sun/ Public Holiday: </b>Charges same as weekdays"
"National Cancer Centre, Singapore (NCCS)","11 Hospital Drive, S(169610)",HDB parking rates from 8.30am to 10pm,Free parking from 10pm to 8.30am the following day,Charges same as weekdays,Charges same as weekdays,0.02232863416594044,1.812290559312332,"(0.022328634165940435, 1.8122905593123317)","<b>Carpark: </b>National Cancer Centre, Singapore (NCCS), <b>Address: </b>11 Hospital Drive, S(169610), <b>Mon-Fri before 5/6pm: </b>HDB parking rates from 8.30am to 10pm, <b>Mon-Fri after 5/6pm: </b>Free parking from 10pm to 8.30am the following day, <b>Sat: </b>Charges same as weekdays, <b>Sun/ Public Holiday: </b>Charges same as weekdays"
M Hotel,"81 Anson Road, S(079908)",\$2.50/30min from 7am to 6pm,\$5.80/entry from 6pm to 7am the following day,"\$2.50/30min from 7am to 1pm, \$5.80/entry after 1pm to 7am the following day",\$5.80/entry from 7am to 7am the following day,0.022231459469177147,1.81243826129094,"(0.022231459469177147, 1.8124382612909402)","<b>Carpark: </b>M Hotel, <b>Address: </b>81 Anson Road, S(079908), <b>Mon-Fri before 5/6pm: </b>\$2.50/30min from 7am to 6pm, <b>Mon-Fri after 5/6pm: </b>\$5.80/entry from 6pm to 7am the following day, <b>Sat: </b>\$2.50/30min from 7am to 1pm, \$5.80/entry after 1pm to 7am the following day, <b>Sun/ Public Holiday: </b>\$5.80/entry from 7am to 7am the following day"
